timestamp,input_id,model,dataset,condition,node,raw_response,error
2026-09-20T00:12:09.019253+00:00,2509,mistral:7b,hatemoderate,graph_ucb_B100,Adjudicator,"Based on the provided policy, the text does not","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the provided policy, the text does not'"
2026-09-20T00:12:23.759283+00:00,2509,mistral:7b,hatemoderate,graph_ucb_B100,Analyst,"Based on the policy provided, the text seems to","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy provided, the text seems to'"
2026-09-20T00:14:56.241092+00:00,4663,mistral:7b,hatemoderate,graph_ucb_B100,Analyst,"Based on the policy provided, the text ""Many","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy provided, the text ""Many'"
2026-09-20T00:15:50.047184+00:00,10941,mistral:7b,hatemoderate,graph_ucb_B100,Adjudicator,"Based on the provided policy, the text ""We","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the provided policy, the text ""We'"
2026-09-20T00:18:16.197565+00:00,6147,mistral:7b,hatemoderate,graph_ucb_B100,Adjudicator,"Based on the provided policy, the text violates","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the provided policy, the text violates'"
2026-09-20T00:19:30.212635+00:00,6145,mistral:7b,hatemoderate,graph_ucb_B100,Adjudicator,"Based on the policy provided, the text can be","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy provided, the text can be'"
2026-09-20T00:20:28.472076+00:00,4618,mistral:7b,hatemoderate,graph_ucb_B100,Adjudicator,"Based on the provided policy, the text ""Ch","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the provided policy, the text ""Ch'"
2026-09-20T00:21:57.195382+00:00,7408,mistral:7b,hatemoderate,graph_ucb_B100,Adjudicator,"Based on the policy provided, the text does not","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy provided, the text does not'"
2026-09-20T00:22:13.960372+00:00,7408,mistral:7b,hatemoderate,graph_ucb_B100,Adjudicator,"Based on the provided policy, the text does not","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the provided policy, the text does not'"
2026-09-20T00:22:33.564355+00:00,7408,mistral:7b,hatemoderate,graph_ucb_B100,Adjudicator,"Based on the policy provided, the text does not","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy provided, the text does not'"
2026-09-20T00:24:25.665534+00:00,1851,mistral:7b,hatemoderate,graph_ucb_B100,Adjudicator,"Based on the provided policy, the text ""disabled","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the provided policy, the text ""disabled'"
2026-09-20T00:25:36.959859+00:00,4140,mistral:7b,hatemoderate,graph_ucb_B100,Adjudicator,"Based on the provided policy, this text violates","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the provided policy, this text violates'"
2026-09-20T00:29:12.187744+00:00,16455,mistral:7b,hatemoderate,graph_ucb_B100,Analyst,"Based on the policy provided, the text seems to","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy provided, the text seems to'"
2026-09-20T00:29:55.861806+00:00,8339,mistral:7b,hatemoderate,graph_ucb_B100,Adjudicator,"Based on the provided policy, the text ""Fat","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the provided policy, the text ""Fat'"
2026-09-20T00:30:33.676725+00:00,29461,mistral:7b,hatemoderate,graph_ucb_B100,Adjudicator,"Based on the provided policy, the text ""Pol","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the provided policy, the text ""Pol'"
2026-09-20T00:30:49.780718+00:00,29461,mistral:7b,hatemoderate,graph_ucb_B100,Adjudicator,"Based on the policy provided, the text ""Pol","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy provided, the text ""Pol'"
2026-09-20T00:31:11.060210+00:00,29461,mistral:7b,hatemoderate,graph_ucb_B100,Adjudicator,"Based on the policy provided, the given text does","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy provided, the given text does'"
2026-09-20T00:34:10.759677+00:00,11507,mistral:7b,hatemoderate,graph_ucb_B100,Adjudicator,"Based on the policy, the text appears to reference","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy, the text appears to reference'"
