task,scope,feature,nPositive,nNegative,auroc,auprc
correctness,llama3.1_8b/hatemoderate,finalConfidence,278,110,0.5937213865271419,
correctness,llama3.1_8b/hatemoderate,totalPulls,404,149,0.3682387534055419,
correctness,llama3.1_8b/hatemoderate,eliminationRound,404,149,0.4345720645890092,
correctness,llama3.1_8b/hatemoderate,finalVoteMargin,278,110,0.5902387181164159,
correctness,llama3.1_8b/hatemoderate,finalEntropy,278,110,0.41116742969260955,
correctness,llama3.1_8b/hatemoderate,numberOfEliminations,404,149,0.4590005980463818,
correctness,llama3.1_8b/hatemoderate,numberOfSurvivingCandidates,404,149,0.5,
correctness,llama3.1_8b/aegis,finalConfidence,325,26,0.5108284023668639,
correctness,llama3.1_8b/aegis,totalPulls,442,38,0.4441831388425816,
correctness,llama3.1_8b/aegis,eliminationRound,442,38,0.46079423672302927,
correctness,llama3.1_8b/aegis,finalVoteMargin,325,26,0.5108284023668639,
correctness,llama3.1_8b/aegis,finalEntropy,325,26,0.4891715976331361,
correctness,llama3.1_8b/aegis,numberOfEliminations,442,38,0.4426053822338652,
correctness,llama3.1_8b/aegis,numberOfSurvivingCandidates,442,38,0.5,
correctness,qwen2.5_7b/hatemoderate,finalConfidence,364,247,0.4912466076433688,
correctness,qwen2.5_7b/hatemoderate,totalPulls,498,333,0.4971990062351508,
correctness,qwen2.5_7b/hatemoderate,eliminationRound,498,333,0.4985165888780347,
correctness,qwen2.5_7b/hatemoderate,finalVoteMargin,364,247,0.49034012546158295,
correctness,qwen2.5_7b/hatemoderate,finalEntropy,364,247,0.509754415624861,
correctness,qwen2.5_7b/hatemoderate,numberOfEliminations,498,333,0.4911718947863526,
correctness,qwen2.5_7b/hatemoderate,numberOfSurvivingCandidates,498,333,0.5,
correctness,qwen2.5_7b/aegis,finalConfidence,517,63,0.4729821006416751,
correctness,qwen2.5_7b/aegis,totalPulls,699,93,0.439552663559309,
correctness,qwen2.5_7b/aegis,eliminationRound,699,93,0.46183487932068856,
correctness,qwen2.5_7b/aegis,finalVoteMargin,517,63,0.48065764023210833,
correctness,qwen2.5_7b/aegis,finalEntropy,517,63,0.5186515612047526,
correctness,qwen2.5_7b/aegis,numberOfEliminations,699,93,0.4626424846554986,
correctness,qwen2.5_7b/aegis,numberOfSurvivingCandidates,699,93,0.5,
correctness,mistral_7b/hatemoderate,finalConfidence,289,244,0.48893868058313006,
correctness,mistral_7b/hatemoderate,totalPulls,364,299,0.5070105479804476,
correctness,mistral_7b/hatemoderate,eliminationRound,364,299,0.5053291190414936,
correctness,mistral_7b/hatemoderate,finalVoteMargin,289,244,0.48893868058313006,
correctness,mistral_7b/hatemoderate,finalEntropy,289,244,0.5110613194168699,
correctness,mistral_7b/hatemoderate,numberOfEliminations,364,299,0.4955207835642618,
correctness,mistral_7b/hatemoderate,numberOfSurvivingCandidates,364,299,0.5,
correctness,AGGREGATE_POOLED_ACROSS_5_PAIRS,finalConfidence,1773,690,0.493838740528213,
correctness,AGGREGATE_POOLED_ACROSS_5_PAIRS,totalPulls,2407,912,0.4976537274324157,
correctness,AGGREGATE_POOLED_ACROSS_5_PAIRS,eliminationRound,2407,912,0.4986618433807827,
correctness,AGGREGATE_POOLED_ACROSS_5_PAIRS,finalVoteMargin,1773,690,0.4942997621324701,
correctness,AGGREGATE_POOLED_ACROSS_5_PAIRS,finalEntropy,1773,690,0.5055575990910354,
correctness,AGGREGATE_POOLED_ACROSS_5_PAIRS,numberOfEliminations,2407,912,0.4938360520120409,
correctness,AGGREGATE_POOLED_ACROSS_5_PAIRS,numberOfSurvivingCandidates,2407,912,0.5,
resolution,llama3.1_8b/hatemoderate,finalConfidence,388,0,,
resolution,llama3.1_8b/hatemoderate,totalPulls,553,647,0.07608771601297964,
resolution,llama3.1_8b/hatemoderate,eliminationRound,553,646,0.2153564290473018,
resolution,llama3.1_8b/hatemoderate,finalVoteMargin,388,564,0.9716174965270161,
resolution,llama3.1_8b/hatemoderate,finalEntropy,388,553,0.038282284073749555,
resolution,llama3.1_8b/hatemoderate,numberOfEliminations,553,646,0.9206411411999843,
resolution,llama3.1_8b/hatemoderate,numberOfSurvivingCandidates,553,646,0.029411764705882353,
resolution,llama3.1_8b/aegis,finalConfidence,351,0,,
resolution,llama3.1_8b/aegis,totalPulls,480,720,0.09869212962962963,
