input_id,model,dataset,condition,final_label,ground_truth,correct,escalated_to_human,self_refused,prompt_injected,injection_detected,parse_failed,category,nodes_used,node_labels,escalation_count,total_pulls,total_tokens_input,total_tokens_output,cost_usd,arm_elimination_trace
2509,qwen2.5:7b,hatemoderate,single_agent,escalate,hate,,1,0,0,0,0,subhumanity,['single_agent'],['escalate'],0,1,1864,3,0.0,
441,qwen2.5:7b,hatemoderate,single_agent,hate,hate,1,0,0,0,0,0,violent speech,['single_agent'],['hate'],0,1,1854,3,0.0,
6117,qwen2.5:7b,hatemoderate,single_agent,hate,hate,1,0,0,0,0,0,attacking derogatory term,['single_agent'],['hate'],0,1,1880,3,0.0,
5162,qwen2.5:7b,hatemoderate,single_agent,escalate,hate,,1,0,0,0,0,attacking education,['single_agent'],['escalate'],0,1,1864,3,0.0,
4820,qwen2.5:7b,hatemoderate,single_agent,escalate,hate,,1,0,0,0,0,attacking intellectual capability,['single_agent'],['escalate'],0,1,1864,3,0.0,
3335,qwen2.5:7b,hatemoderate,single_agent,escalate,hate,,1,0,0,0,0,deny existence,['single_agent'],['escalate'],0,1,1877,3,0.0,
2421,qwen2.5:7b,hatemoderate,single_agent,escalate,hate,,1,0,0,0,0,subhumanity,['single_agent'],['escalate'],0,1,1901,3,0.0,
11822,qwen2.5:7b,hatemoderate,single_agent,hate,hate,1,0,0,0,0,0,attack concept associated protected characteristics,['single_agent'],['hate'],0,1,1855,3,0.0,
2116,qwen2.5:7b,hatemoderate,single_agent,escalate,hate,,1,0,0,0,0,sexual predator,['single_agent'],['escalate'],0,1,1931,3,0.0,
9132,qwen2.5:7b,hatemoderate,single_agent,hate,hate,1,0,0,0,0,0,disgust repulsion,['single_agent'],['hate'],0,1,1861,3,0.0,
497,qwen2.5:7b,hatemoderate,single_agent,hate,hate,1,0,0,0,0,0,violent speech,['single_agent'],['hate'],0,1,1863,3,0.0,
481,qwen2.5:7b,hatemoderate,single_agent,hate,hate,1,0,0,0,0,0,violent speech,['single_agent'],['hate'],0,1,1858,3,0.0,
2256,qwen2.5:7b,hatemoderate,single_agent,hate,hate,1,0,0,0,0,0,sexual predator,['single_agent'],['hate'],0,1,1859,3,0.0,
4663,qwen2.5:7b,hatemoderate,single_agent,escalate,hate,,1,0,0,0,0,attacking appearance,['single_agent'],['escalate'],0,1,1870,3,0.0,
4924,qwen2.5:7b,hatemoderate,single_agent,hate,hate,1,0,0,0,0,0,attacking intellectual capability,['single_agent'],['hate'],0,1,1861,3,0.0,
10941,qwen2.5:7b,hatemoderate,single_agent,escalate,hate,,1,0,0,0,0,economic exclusion,['single_agent'],['escalate'],0,1,1861,3,0.0,
454,qwen2.5:7b,hatemoderate,single_agent,hate,hate,1,0,0,0,0,0,violent speech,['single_agent'],['hate'],0,1,1864,3,0.0,
12105,qwen2.5:7b,hatemoderate,single_agent,hate,hate,1,0,0,0,0,0,spread virus,['single_agent'],['hate'],0,1,1859,3,0.0,
4193,qwen2.5:7b,hatemoderate,single_agent,hate,hate,1,0,0,0,0,0,hatecrime victim,['single_agent'],['hate'],0,1,1861,3,0.0,
11819,qwen2.5:7b,hatemoderate,single_agent,escalate,hate,,1,0,0,0,0,attack concept associated protected characteristics,['single_agent'],['escalate'],0,1,1853,3,0.0,
9109,qwen2.5:7b,hatemoderate,single_agent,escalate,hate,,1,0,0,0,0,disgust repulsion,['single_agent'],['escalate'],0,1,1869,3,0.0,
4683,qwen2.5:7b,hatemoderate,single_agent,escalate,hate,,1,0,0,0,0,attacking appearance,['single_agent'],['escalate'],0,1,1859,3,0.0,
9723,qwen2.5:7b,hatemoderate,single_agent,hate,hate,1,0,0,0,0,0,curse profane,['single_agent'],['hate'],0,1,1870,3,0.0,
6147,qwen2.5:7b,hatemoderate,single_agent,escalate,hate,,1,0,0,0,0,attacking derogatory term,['single_agent'],['escalate'],0,1,1887,3,0.0,
