input_id,model,dataset,condition,final_label,ground_truth,correct,escalated_to_human,self_refused,prompt_injected,injection_detected,parse_failed,category,nodes_used,node_labels,escalation_count,total_pulls,total_tokens_input,total_tokens_output,cost_usd,arm_elimination_trace
2509,llama3.1:8b,hatemoderate,calib_nmv100,not_hate,hate,0,0,0,0,0,0,subhumanity,"['Screener', 'Analyst']","['escalate', 'not_hate']",1,200,375600,710,0.0,
441,llama3.1:8b,hatemoderate,calib_nmv100,hate,hate,1,0,0,0,0,0,violent speech,['Screener'],['hate'],0,100,186300,300,0.0,
6117,llama3.1:8b,hatemoderate,calib_nmv100,hate,hate,1,0,0,0,0,0,attacking derogatory term,['Screener'],['hate'],0,100,188900,307,0.0,
5162,llama3.1:8b,hatemoderate,calib_nmv100,hate,hate,1,0,0,0,0,0,attacking education,['Screener'],['hate'],0,100,187300,300,0.0,
4820,llama3.1:8b,hatemoderate,calib_nmv100,escalate,hate,,1,0,0,0,0,attacking intellectual capability,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'escalate']",3,300,660800,1037,0.0,
3335,llama3.1:8b,hatemoderate,calib_nmv100,not_hate,hate,0,0,0,0,0,0,deny existence,['Screener'],['not_hate'],0,100,188600,400,0.0,
4866,llama3.1:8b,hatemoderate,calib_nmv100,hate,not_hate,0,0,0,0,0,0,attacking intellectual capability,['Screener'],['hate'],0,100,186100,300,0.0,
29498,llama3.1:8b,hatemoderate,calib_nmv100,not_hate,not_hate,1,0,0,0,0,0,political exclusion,['Screener'],['not_hate'],0,100,189600,373,0.0,
24880,llama3.1:8b,hatemoderate,calib_nmv100,not_hate,not_hate,1,0,0,0,0,0,sexual predator,['Screener'],['not_hate'],0,100,189200,400,0.0,
3963,llama3.1:8b,hatemoderate,calib_nmv100,not_hate,not_hate,1,0,0,0,0,0,deny existence,['Screener'],['not_hate'],0,100,186700,375,0.0,
27049,llama3.1:8b,hatemoderate,calib_nmv100,hate,not_hate,0,0,0,0,0,0,contempt shouldnt exist,['Screener'],['hate'],0,100,186600,300,0.0,
20428,llama3.1:8b,hatemoderate,calib_nmv100,not_hate,not_hate,1,0,0,0,0,0,less than adequate,"['Screener', 'Analyst']","['escalate', 'not_hate']",1,200,374600,693,0.0,
