model,dataset,budget,feature,nCorrect,meanCorrect,medianCorrect,stdCorrect,q25Correct,q75Correct,nIncorrect,meanIncorrect,medianIncorrect,stdIncorrect,q25Incorrect,q75Incorrect,mannWhitneyU,mannWhitneyP,rankBiserialEffectSize
llama3.1_8b,hatemoderate,75,finalConfidence,64,1.0,1.0,0.0,1.0,1.0,21,1.0,1.0,0.0,1.0,1.0,672.0,1.0,0.0
llama3.1_8b,hatemoderate,75,totalPulls,95,98.84210526315789,72.0,47.58001453083804,72.0,147.0,30,147.0,147.0,73.69555266607762,72.0,222.0,937.0,0.0007415747475667564,0.34245614035087724
llama3.1_8b,hatemoderate,75,eliminationRound,95,24.0,24.0,0.0,24.0,24.0,30,24.0,24.0,0.0,24.0,24.0,1425.0,1.0,0.0
llama3.1_8b,hatemoderate,75,finalVoteMargin,64,1.0,1.0,0.0,1.0,1.0,21,1.0,1.0,0.0,1.0,1.0,672.0,1.0,0.0
llama3.1_8b,hatemoderate,75,finalEntropy,64,0.0,0.0,0.0,-0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,672.0,1.0,0.0
llama3.1_8b,hatemoderate,75,numberOfEliminations,95,1.0,1.0,0.0,1.0,1.0,30,1.0,1.0,0.0,1.0,1.0,1425.0,1.0,0.0
llama3.1_8b,hatemoderate,75,numberOfSurvivingCandidates,95,1.0,1.0,0.0,1.0,1.0,30,1.0,1.0,0.0,1.0,1.0,1425.0,1.0,0.0
llama3.1_8b,hatemoderate,100,finalConfidence,100,0.985309965155349,1.0,0.02637653669223114,0.9655172413793104,1.0,38,0.9759713599828348,0.9687194525904204,0.026211234428125823,0.9655172413793104,1.0,2293.0,0.02757133476008316,-0.20684210526315794
llama3.1_8b,hatemoderate,100,totalPulls,144,108.44444444444444,76.0,57.01732993551972,72.0,172.0,51,145.98039215686273,88.0,91.28011616909313,72.0,272.0,2788.5,0.008348234142589762,0.24060457516339873
llama3.1_8b,hatemoderate,100,eliminationRound,144,26.145833333333332,24.0,3.11092986346279,24.0,26.0,51,26.96078431372549,26.0,3.387983378434584,24.0,29.0,3221.0,0.15758541177662344,0.1228213507625272
llama3.1_8b,hatemoderate,100,finalVoteMargin,100,0.983952901751567,1.0,0.02853487723528986,0.9655172413793104,1.0,38,0.9726715744688931,0.967741935483871,0.031331529389203805,0.9615384615384616,1.0,2302.0,0.024282845371952164,-0.2115789473684211
llama3.1_8b,hatemoderate,100,finalEntropy,100,0.027148120029636947,0.0,0.05399400683775557,-0.0,0.04888034641238285,38,0.046433208444648134,0.04577972397905481,0.06998710479090421,0.0,0.05440723881381483,1498.0,0.024282845371952164,0.2115789473684211
