input_id,model,dataset,condition,final_label,ground_truth,correct,escalated_to_human,self_refused,prompt_injected,injection_detected,parse_failed,category,nodes_used,node_labels,escalation_count,total_pulls,total_tokens_input,total_tokens_output,cost_usd,arm_elimination_trace
2509,qwen2.5:32b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,subhumanity,"['Screener', 'Analyst']","['escalate', 'hate']",1,10,19070,30,0.0,
441,qwen2.5:32b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,violent speech,['Screener'],['hate'],0,5,9460,15,0.0,
6117,qwen2.5:32b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,attacking derogatory term,['Screener'],['hate'],0,5,9590,15,0.0,
5162,qwen2.5:32b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,attacking education,['Screener'],['hate'],0,5,9510,15,0.0,
4820,qwen2.5:32b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,attacking intellectual capability,['Screener'],['hate'],0,5,9510,15,0.0,
3335,qwen2.5:32b,hatemoderate,graph_mv,not_hate,hate,0,0,0,0,0,0,deny existence,['Screener'],['not_hate'],0,5,9575,20,0.0,
2421,qwen2.5:32b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,subhumanity,['Screener'],['hate'],0,5,9695,15,0.0,
11822,qwen2.5:32b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,attack concept associated protected characteristics,['Screener'],['hate'],0,5,9465,15,0.0,
2116,qwen2.5:32b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,sexual predator,['Screener'],['hate'],0,5,9845,15,0.0,
9132,qwen2.5:32b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,disgust repulsion,['Screener'],['hate'],0,5,9495,15,0.0,
497,qwen2.5:32b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,violent speech,['Screener'],['hate'],0,5,9505,15,0.0,
481,qwen2.5:32b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,violent speech,['Screener'],['hate'],0,5,9480,15,0.0,
