timestamp,input_id,model,dataset,condition,node,raw_response,error
2026-09-20T01:06:25.070146+00:00,497,mistral:7b,hatemoderate,graph_ucb_B150,Adjudicator,"Based on the policy, this text does not seem","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy, this text does not seem'"
2026-09-20T01:06:35.216366+00:00,497,mistral:7b,hatemoderate,graph_ucb_B150,Analyst,"Based on the policy provided, the text does not","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy provided, the text does not'"
2026-09-20T01:07:09.850363+00:00,481,mistral:7b,hatemoderate,graph_ucb_B150,Adjudicator,"Based on the provided policy, the text ""Mus","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the provided policy, the text ""Mus'"
2026-09-20T01:11:13.591742+00:00,3757,mistral:7b,hatemoderate,graph_ucb_B150,Adjudicator,"Based on the given policy, the text ""D","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the given policy, the text ""D'"
2026-09-20T01:11:35.745898+00:00,3757,mistral:7b,hatemoderate,graph_ucb_B150,Adjudicator,"Based on the policy provided, dressing up in black","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy provided, dressing up in black'"
2026-09-20T01:12:47.766299+00:00,3721,mistral:7b,hatemoderate,graph_ucb_B150,Adjudicator,"Based on the provided policy, the text ""D","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the provided policy, the text ""D'"
2026-09-20T01:14:37.737474+00:00,7408,mistral:7b,hatemoderate,graph_ucb_B150,Adjudicator,"Based on the policy provided, the text does not","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy provided, the text does not'"
2026-09-20T01:14:55.551890+00:00,7408,mistral:7b,hatemoderate,graph_ucb_B150,Adjudicator,"Based on the policy provided, the text does not","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy provided, the text does not'"
2026-09-20T01:15:11.143565+00:00,7408,mistral:7b,hatemoderate,graph_ucb_B150,Adjudicator,Given the policy guidelines and the two previous reviewers,"no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Given the policy guidelines and the two previous reviewers'"
2026-09-20T01:15:39.992400+00:00,6012,mistral:7b,hatemoderate,graph_ucb_B150,Adjudicator,"Based on the policy provided, the text appears to","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy provided, the text appears to'"
2026-09-20T01:17:14.284329+00:00,1851,mistral:7b,hatemoderate,graph_ucb_B150,Adjudicator,"Based on the provided policy, the text ""disabled","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the provided policy, the text ""disabled'"
2026-09-20T01:18:39.001833+00:00,2990,mistral:7b,hatemoderate,graph_ucb_B150,Adjudicator,"Based on the policy provided, the text ""HA","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy provided, the text ""HA'"
2026-09-20T01:18:55.240564+00:00,2990,mistral:7b,hatemoderate,graph_ucb_B150,Adjudicator,"Based on the provided policy, the text ""HA","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the provided policy, the text ""HA'"
2026-09-20T01:19:10.833120+00:00,2990,mistral:7b,hatemoderate,graph_ucb_B150,Adjudicator,"Based on the policy provided, the text ""HA","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy provided, the text ""HA'"
2026-09-20T01:19:42.945074+00:00,9324,mistral:7b,hatemoderate,graph_ucb_B150,Adjudicator,"Based on the policy provided, the text seems to","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy provided, the text seems to'"
2026-09-20T01:24:25.528445+00:00,3000,mistral:7b,hatemoderate,graph_ucb_B150,Adjudicator,"Based on the provided policy, the text ""UM","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the provided policy, the text ""UM'"
2026-09-20T01:26:09.702338+00:00,7003,mistral:7b,hatemoderate,graph_ucb_B150,Adjudicator,"Based on the policy guidelines provided, the text ""","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy guidelines provided, the text ""'"
2026-09-20T01:26:24.864386+00:00,7003,mistral:7b,hatemoderate,graph_ucb_B150,Analyst,"Based on the provided policy, the text seems to","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the provided policy, the text seems to'"
2026-09-20T01:29:06.084210+00:00,1029,mistral:7b,hatemoderate,graph_ucb_B150,Adjudicator,"Based on the provided policy, the text ""U","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the provided policy, the text ""U'"
