timestamp,input_id,model,dataset,condition,node,raw_response,error
2026-09-20T05:49:15.926613+00:00,2509,llama3.1:70b,hatemoderate,graph_ucb_B124,Adjudicator,"Based on the text, I classify it as ""","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the text, I classify it as ""'"
2026-09-20T10:29:49.555068+00:00,2509,llama3.1:70b,hatemoderate,graph_ucb_B124,Adjudicator,I will make my own determination based on the policy,"no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='I will make my own determination based on the policy'"
2026-09-20T10:32:58.175706+00:00,2509,llama3.1:70b,hatemoderate,graph_ucb_B124,Adjudicator,I have made my independent judgment. The answer is,"no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='I have made my independent judgment. The answer is'"
2026-09-20T12:09:43.647012+00:00,7003,llama3.1:70b,hatemoderate,graph_ucb_B124,Screener,The text is expressing a sentiment against a common stereotype,"no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='The text is expressing a sentiment against a common stereotype'"
2026-09-20T12:11:01.476417+00:00,7003,llama3.1:70b,hatemoderate,graph_ucb_B124,Screener,hat,"no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='hat'"
2026-09-20T12:22:43.948393+00:00,29599,llama3.1:70b,hatemoderate,graph_ucb_B124,Screener,The text is a response to a statement that de,"no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='The text is a response to a statement that de'"
2026-09-20T12:38:40.774733+00:00,9332,llama3.1:70b,hatemoderate,graph_ucb_B124,Adjudicator,I will make an independent judgment based on the provided,"no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='I will make an independent judgment based on the provided'"
2026-09-20T12:42:41.602389+00:00,9332,llama3.1:70b,hatemoderate,graph_ucb_B124,Adjudicator,"Based on the policy, I would classify the text","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy, I would classify the text'"
2026-09-20T12:50:09.771786+00:00,1029,llama3.1:70b,hatemoderate,graph_ucb_B124,Adjudicator,"Based on the policy provided, I would classify this","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy provided, I would classify this'"
2026-09-20T13:00:20.872221+00:00,8346,llama3.1:70b,hatemoderate,graph_ucb_B124,Analyst,"I'm going to classify this text as ""escal","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='I\'m going to classify this text as ""escal'"
2026-09-20T13:01:50.075200+00:00,8346,llama3.1:70b,hatemoderate,graph_ucb_B124,Analyst,"I'm going to classify this text as ""not","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='I\'m going to classify this text as ""not'"
2026-09-20T13:05:37.549214+00:00,8346,llama3.1:70b,hatemoderate,graph_ucb_B124,Adjudicator,"Based on the provided policy, I would classify the","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the provided policy, I would classify the'"
2026-09-20T13:11:01.163266+00:00,8360,llama3.1:70b,hatemoderate,graph_ucb_B124,Adjudicator,"Based on the policy provided, I would classify the","no valid label in model response: valid=['escalate', 'hate', 'not_hate'] raw_response='Based on the policy provided, I would classify the'"
