input_id,model,dataset,condition,final_label,ground_truth,correct,escalated_to_human,self_refused,prompt_injected,injection_detected,parse_failed,category,nodes_used,node_labels,escalation_count,total_pulls,total_tokens_input,total_tokens_output,cost_usd,arm_elimination_trace,final_confidence,leading_candidate,leading_estimate,leading_wrong,arm_estimates_json
124,llama3.1:8b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,filth,['Screener'],['hate'],0,5,9330,15,0.0,,1.0,hate,1.0,0,
441,llama3.1:8b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,violent speech,['Screener'],['hate'],0,5,9315,15,0.0,,1.0,hate,1.0,0,
454,llama3.1:8b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,violent speech,['Screener'],['hate'],0,5,9365,15,0.0,,1.0,hate,1.0,0,
481,llama3.1:8b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,violent speech,['Screener'],['hate'],0,5,9335,15,0.0,,0.8,hate,0.8,0,
497,llama3.1:8b,hatemoderate,graph_mv,escalate,hate,,1,0,0,0,0,violent speech,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'escalate']",3,15,29105,45,0.0,,,,,,
719,llama3.1:8b,hatemoderate,graph_mv,not_hate,hate,0,0,0,0,0,0,insects,['Screener'],['not_hate'],0,5,9570,19,0.0,,0.8,not_hate,0.8,1,
1851,llama3.1:8b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,feces,['Screener'],['hate'],0,5,9300,15,0.0,,1.0,hate,1.0,0,
2116,llama3.1:8b,hatemoderate,graph_mv,escalate,hate,,1,0,0,0,0,sexual predator,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'escalate']",3,15,30160,59,0.0,,,,,,
2245,llama3.1:8b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,sexual predator,['Screener'],['hate'],0,5,9325,15,0.0,,1.0,hate,1.0,0,
2256,llama3.1:8b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,sexual predator,['Screener'],['hate'],0,5,9340,15,0.0,,1.0,hate,1.0,0,
2281,llama3.1:8b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,sexual predator,['Screener'],['hate'],0,5,9335,15,0.0,,1.0,hate,1.0,0,
2419,llama3.1:8b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,subhumanity,['Screener'],['hate'],0,5,9535,15,0.0,,0.8,hate,0.8,0,
2421,llama3.1:8b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,subhumanity,['Screener'],['hate'],0,5,9550,15,0.0,,0.8,hate,0.8,0,
2509,llama3.1:8b,hatemoderate,graph_mv,not_hate,hate,0,0,0,0,0,0,subhumanity,"['Screener', 'Analyst']","['escalate', 'not_hate']",1,10,18780,35,0.0,,0.8,not_hate,0.8,1,
2777,llama3.1:8b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,criminal,['Screener'],['hate'],0,5,9580,15,0.0,,1.0,hate,1.0,0,
3335,llama3.1:8b,hatemoderate,graph_mv,not_hate,hate,0,0,0,0,0,0,deny existence,['Screener'],['not_hate'],0,5,9430,20,0.0,,1.0,not_hate,1.0,1,
3721,llama3.1:8b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,harmful stereotype,['Screener'],['hate'],0,5,9355,15,0.0,,1.0,hate,1.0,0,
3757,llama3.1:8b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,harmful stereotype,['Screener'],['hate'],0,5,9355,15,0.0,,1.0,hate,1.0,0,
4140,llama3.1:8b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,hatecrime victim,['Screener'],['hate'],0,5,9340,15,0.0,,1.0,hate,1.0,0,
4193,llama3.1:8b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,hatecrime victim,['Screener'],['hate'],0,5,9350,15,0.0,,1.0,hate,1.0,0,
4618,llama3.1:8b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,attacking appearance,['Screener'],['hate'],0,5,9305,15,0.0,,1.0,hate,1.0,0,
4663,llama3.1:8b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,attacking appearance,['Screener'],['hate'],0,5,9395,22,0.0,,0.6,hate,0.6,0,
4683,llama3.1:8b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,attacking appearance,['Screener'],['hate'],0,5,9340,15,0.0,,1.0,hate,1.0,0,
4820,llama3.1:8b,hatemoderate,graph_mv,escalate,hate,,1,0,0,0,0,attacking intellectual capability,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'escalate']",3,15,29140,54,0.0,,,,,,
4924,llama3.1:8b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,attacking intellectual capability,['Screener'],['hate'],0,5,9350,15,0.0,,1.0,hate,1.0,0,
5162,llama3.1:8b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,attacking education,['Screener'],['hate'],0,5,9365,15,0.0,,1.0,hate,1.0,0,
