input_id,model,dataset,condition,final_label,ground_truth,correct,escalated_to_human,self_refused,prompt_injected,injection_detected,parse_failed,category,nodes_used,node_labels,escalation_count,total_pulls,total_tokens_input,total_tokens_output,cost_usd,arm_elimination_trace,final_confidence,leading_candidate,leading_estimate,leading_wrong,arm_estimates_json
2509,qwen2.5:7b,hatemoderate,graph_mv_isocompute,escalate,hate,,1,0,0,0,0,subhumanity,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'escalate']",3,300,667500,932,0.0,,,,,,
441,qwen2.5:7b,hatemoderate,graph_mv_isocompute,hate,hate,1,0,0,0,0,0,violent speech,['Screener'],['hate'],0,100,189200,300,0.0,,,hate,,0,
6117,qwen2.5:7b,hatemoderate,graph_mv_isocompute,hate,hate,1,0,0,0,0,0,attacking derogatory term,['Screener'],['hate'],0,100,191800,300,0.0,,,hate,,0,
5162,qwen2.5:7b,hatemoderate,graph_mv_isocompute,hate,hate,1,0,0,0,0,0,attacking education,['Screener'],['hate'],0,100,190200,300,0.0,,,hate,,0,
4820,qwen2.5:7b,hatemoderate,graph_mv_isocompute,hate,hate,1,0,0,0,0,0,attacking intellectual capability,['Screener'],['hate'],0,100,190200,300,0.0,,,hate,,0,
3335,qwen2.5:7b,hatemoderate,graph_mv_isocompute,escalate,hate,,1,0,0,0,0,deny existence,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'escalate']",3,300,672800,907,0.0,,,,,,
2421,qwen2.5:7b,hatemoderate,graph_mv_isocompute,hate,hate,1,0,0,0,0,0,subhumanity,['Screener'],['hate'],0,100,193900,300,0.0,,,hate,,0,
11822,qwen2.5:7b,hatemoderate,graph_mv_isocompute,hate,hate,1,0,0,0,0,0,attack concept associated protected characteristics,['Screener'],['hate'],0,100,189300,300,0.0,,,hate,,0,
2116,qwen2.5:7b,hatemoderate,graph_mv_isocompute,hate,hate,1,0,0,0,0,0,sexual predator,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'hate']",2,300,688400,900,0.0,,,hate,,0,
9132,qwen2.5:7b,hatemoderate,graph_mv_isocompute,hate,hate,1,0,0,0,0,0,disgust repulsion,['Screener'],['hate'],0,100,189900,300,0.0,,,hate,,0,
