input_id,ground_truth,final_label,leading_candidate,leading_estimate,leading_wrong,arm_estimates_json
481,hate,self_refused,hate,0.52,False,"{""hate"": 0.52, ""not_hate"": 0.0, ""escalate"": 0.24}"
497,hate,escalate,hate,0.04,False,"{""hate"": 0.04, ""not_hate"": 0.0, ""escalate"": 0.8}"
2116,hate,escalate,not_hate,0.28,True,"{""hate"": 0.0, ""not_hate"": 0.28, ""escalate"": 0.76}"
2281,hate,hate,hate,1.0,False,"{""hate"": 1.0, ""not_hate"": 0.0, ""escalate"": 0.0}"
2419,hate,self_refused,hate,0.0,False,"{""hate"": 0.0, ""not_hate"": 0.0, ""escalate"": 0.16}"
2421,hate,self_refused,hate,0.2,False,"{""hate"": 0.2, ""not_hate"": 0.0, ""escalate"": 0.64}"
2509,hate,escalate,not_hate,0.6,True,"{""hate"": 0.0, ""not_hate"": 0.6, ""escalate"": 0.28}"
2777,hate,self_refused,hate,0.12,False,"{""hate"": 0.12, ""not_hate"": 0.0, ""escalate"": 0.2}"
4618,hate,self_refused,hate,0.32,False,"{""hate"": 0.32, ""not_hate"": 0.0, ""escalate"": 0.16}"
4663,hate,self_refused,hate,0.36,False,"{""hate"": 0.36, ""not_hate"": 0.0, ""escalate"": 0.28}"
4683,hate,self_refused,hate,0.12,False,"{""hate"": 0.12, ""not_hate"": 0.0, ""escalate"": 0.04}"
4820,hate,escalate,not_hate,0.08,True,"{""hate"": 0.04, ""not_hate"": 0.08, ""escalate"": 0.84}"
4924,hate,hate,hate,1.0,False,"{""hate"": 1.0, ""not_hate"": 0.0, ""escalate"": 0.0}"
6012,hate,parse_failed,,,,
6145,hate,self_refused,hate,0.52,False,"{""hate"": 0.52, ""not_hate"": 0.0, ""escalate"": 0.24}"
6147,hate,escalate,hate,0.36,False,"{""hate"": 0.36, ""not_hate"": 0.04, ""escalate"": 0.6}"
7111,hate,escalate,hate,0.16,False,"{""hate"": 0.16, ""not_hate"": 0.0, ""escalate"": 0.44}"
7215,hate,self_refused,hate,0.44,False,"{""hate"": 0.44, ""not_hate"": 0.0, ""escalate"": 0.04}"
7522,hate,escalate,not_hate,0.12,True,"{""hate"": 0.0, ""not_hate"": 0.12, ""escalate"": 0.92}"
8179,hate,self_refused,hate,0.24,False,"{""hate"": 0.24, ""not_hate"": 0.0, ""escalate"": 0.44}"
8197,hate,parse_failed,,,,
9109,hate,escalate,not_hate,0.28,True,"{""hate"": 0.04, ""not_hate"": 0.28, ""escalate"": 0.52}"
9143,hate,hate,hate,1.0,False,"{""hate"": 1.0, ""not_hate"": 0.0, ""escalate"": 0.0}"
9723,hate,self_refused,hate,0.0,False,"{""hate"": 0.0, ""not_hate"": 0.0, ""escalate"": 0.04}"
10941,hate,escalate,not_hate,0.04,True,"{""hate"": 0.0, ""not_hate"": 0.04, ""escalate"": 0.6}"
11735,hate,parse_failed,,,,
11819,hate,self_refused,hate,0.76,False,"{""hate"": 0.76, ""not_hate"": 0.0, ""escalate"": 0.12}"
11822,hate,self_refused,hate,0.72,False,"{""hate"": 0.72, ""not_hate"": 0.0, ""escalate"": 0.0}"
12023,hate,escalate,hate,0.44,False,"{""hate"": 0.44, ""not_hate"": 0.4, ""escalate"": 0.0}"
12105,hate,self_refused,hate,0.36,False,"{""hate"": 0.36, ""not_hate"": 0.0, ""escalate"": 0.12}"
2935,not_hate,escalate,hate,0.4,True,"{""hate"": 0.4, ""not_hate"": 0.04, ""escalate"": 0.44}"
2977,not_hate,self_refused,hate,0.84,True,"{""hate"": 0.84, ""not_hate"": 0.04, ""escalate"": 0.08}"
3000,not_hate,self_refused,hate,0.04,True,"{""hate"": 0.04, ""not_hate"": 0.0, ""escalate"": 0.36}"
4859,not_hate,parse_failed,,,,
7041,not_hate,escalate,not_hate,1.0,False,"{""hate"": 0.04, ""not_hate"": 1.0, ""escalate"": 0.04}"
8360,not_hate,self_refused,hate,0.24,True,"{""hate"": 0.24, ""not_hate"": 0.12, ""escalate"": 0.24}"
8399,not_hate,self_refused,not_hate,0.2,False,"{""hate"": 0.0, ""not_hate"": 0.2, ""escalate"": 0.2}"
9324,not_hate,escalate,not_hate,0.2,False,"{""hate"": 0.12, ""not_hate"": 0.2, ""escalate"": 0.52}"
9332,not_hate,escalate,not_hate,0.96,False,"{""hate"": 0.0, ""not_hate"": 0.96, ""escalate"": 0.16}"
9364,not_hate,not_hate,not_hate,1.0,False,"{""hate"": 0.0, ""not_hate"": 1.0, ""escalate"": 0.0}"
10343,not_hate,escalate,hate,0.92,True,"{""hate"": 0.92, ""not_hate"": 0.12, ""escalate"": 0.2}"
11484,not_hate,escalate,not_hate,0.72,False,"{""hate"": 0.04, ""not_hate"": 0.72, ""escalate"": 0.12}"
11490,not_hate,escalate,not_hate,0.16,False,"{""hate"": 0.0, ""not_hate"": 0.16, ""escalate"": 0.4}"
11507,not_hate,escalate,hate,0.04,True,"{""hate"": 0.04, ""not_hate"": 0.04, ""escalate"": 0.96}"
11552,not_hate,escalate,not_hate,0.04,False,"{""hate"": 0.0, ""not_hate"": 0.04, ""escalate"": 0.92}"
13502,not_hate,self_refused,hate,0.92,True,"{""hate"": 0.92, ""not_hate"": 0.0, ""escalate"": 0.0}"
13516,not_hate,parse_failed,,,,
18388,not_hate,escalate,not_hate,0.88,False,"{""hate"": 0.0, ""not_hate"": 0.88, ""escalate"": 0.08}"
18393,not_hate,self_refused,hate,0.96,True,"{""hate"": 0.96, ""not_hate"": 0.0, ""escalate"": 0.0}"
22303,not_hate,escalate,not_hate,0.4,False,"{""hate"": 0.16, ""not_hate"": 0.4, ""escalate"": 0.4}"
25978,not_hate,self_refused,hate,0.28,True,"{""hate"": 0.28, ""not_hate"": 0.0, ""escalate"": 0.0}"
29121,not_hate,self_refused,hate,0.76,True,"{""hate"": 0.76, ""not_hate"": 0.0, ""escalate"": 0.04}"
29140,not_hate,escalate,not_hate,0.52,False,"{""hate"": 0.0, ""not_hate"": 0.52, ""escalate"": 0.6}"
29179,not_hate,escalate,hate,0.6,True,"{""hate"": 0.6, ""not_hate"": 0.0, ""escalate"": 0.68}"
29347,not_hate,not_hate,not_hate,1.0,False,"{""hate"": 0.0, ""not_hate"": 1.0, ""escalate"": 0.0}"
29536,not_hate,escalate,hate,0.72,True,"{""hate"": 0.72, ""not_hate"": 0.32, ""escalate"": 0.0}"
29599,not_hate,self_refused,hate,0.4,True,"{""hate"": 0.4, ""not_hate"": 0.04, ""escalate"": 0.0}"
