model,dataset,budget,inputId,finalLabel,groundTruth,resolved,correct,finalConfidence,totalPulls,eliminationRound,finalVoteMargin,finalEntropy,numberOfEliminations,numberOfSurvivingCandidates
llama3.1_8b,hatemoderate,75,2509,escalate,hate,False,,,225.0,25,0.6,0.44217935649972373,0,3
llama3.1_8b,hatemoderate,75,441,hate,hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,6117,hate,hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,5162,hate,hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,4820,escalate,hate,False,,,225.0,25,0.04,0.477262742772967,0,3
llama3.1_8b,hatemoderate,75,3335,not_hate,hate,True,False,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,2421,escalate,hate,False,,,225.0,25,0.2,0.46438561897747244,0,3
llama3.1_8b,hatemoderate,75,11822,escalate,hate,False,,,225.0,25,0.72,0.3412304555993369,0,3
llama3.1_8b,hatemoderate,75,2116,escalate,hate,False,,,225.0,25,0.28,0.5142203549607938,0,3
llama3.1_8b,hatemoderate,75,9132,hate,hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,497,escalate,hate,False,,,225.0,25,0.04,0.185754247590989,0,3
llama3.1_8b,hatemoderate,75,481,escalate,hate,False,,,225.0,25,0.52,0.49057656524948895,0,3
llama3.1_8b,hatemoderate,75,2256,hate,hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,4663,escalate,hate,False,,,225.0,25,0.36,0.5306152277996684,0,3
llama3.1_8b,hatemoderate,75,4924,escalate,hate,False,,,225.0,25,1.0,-0.0,0,3
llama3.1_8b,hatemoderate,75,10941,escalate,hate,False,,,225.0,25,0.04,0.185754247590989,0,3
llama3.1_8b,hatemoderate,75,454,hate,hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,12105,escalate,hate,False,,,225.0,25,0.36,0.5306152277996684,0,3
llama3.1_8b,hatemoderate,75,4193,hate,hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,11819,escalate,hate,False,,,225.0,25,0.76,0.3009057940116658,0,3
llama3.1_8b,hatemoderate,75,9109,escalate,hate,False,,,225.0,25,0.24000000000000002,0.6999746025517828,0,3
llama3.1_8b,hatemoderate,75,4683,escalate,hate,False,,,225.0,25,0.12,0.3670672426864282,0,3
llama3.1_8b,hatemoderate,75,9723,escalate,hate,False,,,225.0,25,0.0,,0,3
llama3.1_8b,hatemoderate,75,6147,escalate,hate,False,,,225.0,25,0.32,0.7163694753906574,0,3
llama3.1_8b,hatemoderate,75,124,hate,hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,3757,hate,hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,9143,escalate,hate,False,,,225.0,25,1.0,-0.0,0,3
llama3.1_8b,hatemoderate,75,7215,escalate,hate,False,,,225.0,25,0.44,0.5211468113004681,0,3
llama3.1_8b,hatemoderate,75,6145,escalate,hate,False,,,225.0,25,0.52,0.49057656524948895,0,3
llama3.1_8b,hatemoderate,75,3721,hate,hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,4618,escalate,hate,False,,,225.0,25,0.32,0.5260339807279119,0,3
llama3.1_8b,hatemoderate,75,7111,escalate,hate,False,,,225.0,25,0.16,0.42301699036395596,0,3
llama3.1_8b,hatemoderate,75,2419,escalate,hate,False,,,225.0,25,0.0,,0,3
llama3.1_8b,hatemoderate,75,2245,hate,hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,8197,escalate,hate,False,,,225.0,25,,,0,3
llama3.1_8b,hatemoderate,75,2281,escalate,hate,False,,,225.0,25,1.0,-0.0,0,3
llama3.1_8b,hatemoderate,75,7408,not_hate,hate,True,False,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,7252,hate,hate,True,True,,222.0,24,,,1,1
llama3.1_8b,hatemoderate,75,6012,escalate,hate,False,,,225.0,25,,,0,3
llama3.1_8b,hatemoderate,75,719,not_hate,hate,True,False,,147.0,24,,,1,1
llama3.1_8b,hatemoderate,75,9938,self_refused,hate,False,,,225.0,25,,,0,3
llama3.1_8b,hatemoderate,75,11735,escalate,hate,False,,,225.0,25,,,0,3
llama3.1_8b,hatemoderate,75,2777,escalate,hate,False,,,225.0,25,0.12,0.3670672426864282,0,3
llama3.1_8b,hatemoderate,75,8179,escalate,hate,False,,,225.0,25,0.24,0.4941344853728565,0,3
llama3.1_8b,hatemoderate,75,1851,hate,hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,12023,escalate,hate,False,,,225.0,25,0.03999999999999998,1.049918049255413,0,3
llama3.1_8b,hatemoderate,75,6443,self_refused,hate,False,,,225.0,25,,,0,3
llama3.1_8b,hatemoderate,75,7522,escalate,hate,False,,,225.0,25,0.12,0.3670672426864282,0,3
llama3.1_8b,hatemoderate,75,16239,hate,hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,4140,hate,hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,29697,hate,not_hate,True,False,,222.0,24,,,1,1
llama3.1_8b,hatemoderate,75,2990,not_hate,not_hate,True,True,,147.0,24,,,1,1
llama3.1_8b,hatemoderate,75,2039,not_hate,not_hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,29347,escalate,not_hate,False,,,225.0,25,1.0,-0.0,0,3
llama3.1_8b,hatemoderate,75,9324,escalate,not_hate,False,,,225.0,25,0.08000000000000002,0.8314528616639006,0,3
llama3.1_8b,hatemoderate,75,12443,not_hate,not_hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,3864,not_hate,not_hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,9364,escalate,not_hate,False,,,225.0,25,1.0,-0.0,0,3
llama3.1_8b,hatemoderate,75,4859,escalate,not_hate,False,,,225.0,25,,,0,3
llama3.1_8b,hatemoderate,75,18393,escalate,not_hate,False,,,225.0,25,0.96,0.05653794149142582,0,3
llama3.1_8b,hatemoderate,75,11552,escalate,not_hate,False,,,225.0,25,0.04,0.185754247590989,0,3
llama3.1_8b,hatemoderate,75,22303,escalate,not_hate,False,,,225.0,25,0.24000000000000002,0.9517882283189008,0,3
llama3.1_8b,hatemoderate,75,29121,escalate,not_hate,False,,,225.0,25,0.76,0.3009057940116658,0,3
llama3.1_8b,hatemoderate,75,17387,not_hate,not_hate,True,True,,147.0,24,,,1,1
llama3.1_8b,hatemoderate,75,7000,not_hate,not_hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,17467,not_hate,not_hate,True,True,,147.0,24,,,1,1
llama3.1_8b,hatemoderate,75,16455,not_hate,not_hate,True,True,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,8339,hate,not_hate,True,False,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,29461,not_hate,not_hate,True,True,,147.0,24,,,1,1
llama3.1_8b,hatemoderate,75,11484,escalate,not_hate,False,,,225.0,25,0.6799999999999999,0.5269847031903259,0,3
llama3.1_8b,hatemoderate,75,29680,hate,not_hate,True,False,,72.0,24,,,1,1
llama3.1_8b,hatemoderate,75,29536,escalate,not_hate,False,,,225.0,25,0.39999999999999997,0.8672644363272488,0,3
llama3.1_8b,hatemoderate,75,29179,escalate,not_hate,False,,,225.0,25,0.6,0.44217935649972373,0,3
llama3.1_8b,hatemoderate,75,18388,escalate,not_hate,False,,,225.0,25,0.88,0.16229362260093616,0,3
llama3.1_8b,hatemoderate,75,11507,escalate,not_hate,False,,,225.0,26,0.0,0.371508495181978,1,2
llama3.1_8b,hatemoderate,75,29140,escalate,not_hate,False,,,225.0,25,0.52,0.49057656524948895,0,3
llama3.1_8b,hatemoderate,75,29599,escalate,not_hate,False,,,225.0,25,0.36000000000000004,0.7145254855459339,0,3
llama3.1_8b,hatemoderate,75,25877,not_hate,not_hate,True,True,,147.0,24,,,1,1
llama3.1_8b,hatemoderate,75,8399,escalate,not_hate,False,,,225.0,25,0.2,0.46438561897747244,0,3
