model,dataset,budget,feature,nUsableResolved,nCorrect,nIncorrect,auroc,auprc,lowSampleFlag
llama3.1_8b,hatemoderate,75,finalConfidence,85,64,21,0.5,1.0,False
llama3.1_8b,hatemoderate,75,finalVoteMargin,85,64,21,0.5,1.0,False
llama3.1_8b,hatemoderate,75,finalEntropy,85,64,21,0.5,1.0,False
llama3.1_8b,hatemoderate,100,finalConfidence,138,100,38,0.603421052631579,0.9301879165343301,False
llama3.1_8b,hatemoderate,100,finalVoteMargin,138,100,38,0.6057894736842105,0.929907437691945,False
llama3.1_8b,hatemoderate,100,finalEntropy,138,100,38,0.39421052631578946,0.733161269912276,False
llama3.1_8b,hatemoderate,124,finalConfidence,165,114,51,0.5975232198142415,0.878912533495319,False
llama3.1_8b,hatemoderate,124,finalVoteMargin,165,114,51,0.5859993120055039,0.8722341125399335,False
llama3.1_8b,hatemoderate,124,finalEntropy,165,114,51,0.41855865153078775,0.7088878809907657,False
llama3.1_8b,aegis,75,finalConfidence,72,67,5,0.5,1.0,True
llama3.1_8b,aegis,75,finalVoteMargin,72,67,5,0.5,1.0,True
llama3.1_8b,aegis,75,finalEntropy,72,67,5,0.5,1.0,True
llama3.1_8b,aegis,100,finalConfidence,130,121,9,0.5064279155188246,0.9723418791486923,True
llama3.1_8b,aegis,100,finalVoteMargin,130,121,9,0.5064279155188246,0.9723418791486923,True
llama3.1_8b,aegis,100,finalEntropy,130,121,9,0.4935720844811754,0.954922177327295,True
llama3.1_8b,aegis,124,finalConfidence,149,137,12,0.5063868613138686,0.9637506309109379,True
llama3.1_8b,aegis,124,finalVoteMargin,149,137,12,0.5063868613138686,0.9637506309109379,True
llama3.1_8b,aegis,124,finalEntropy,149,137,12,0.4936131386861314,0.9396335491499547,True
qwen2.5_7b,hatemoderate,75,finalConfidence,184,110,74,0.5,1.0,False
qwen2.5_7b,hatemoderate,75,finalVoteMargin,184,110,74,0.5,1.0,False
qwen2.5_7b,hatemoderate,75,finalEntropy,184,110,74,0.5,1.0,False
qwen2.5_7b,hatemoderate,100,finalConfidence,208,124,84,0.4782546082949309,0.9537514665077974,False
qwen2.5_7b,hatemoderate,100,finalVoteMargin,208,124,84,0.475326420890937,0.9506193855592713,False
qwen2.5_7b,hatemoderate,100,finalEntropy,208,124,84,0.5248175883256528,0.8802463204561862,False
qwen2.5_7b,hatemoderate,124,finalConfidence,219,130,89,0.4950302506482282,0.9279981137008876,False
qwen2.5_7b,hatemoderate,124,finalVoteMargin,219,130,89,0.4954624027657736,0.9280902730625998,False
qwen2.5_7b,hatemoderate,124,finalEntropy,219,130,89,0.5049265341400173,0.7782290609438384,False
qwen2.5_7b,aegis,75,finalConfidence,186,165,21,0.5,1.0,False
qwen2.5_7b,aegis,75,finalVoteMargin,186,165,21,0.5,1.0,False
qwen2.5_7b,aegis,75,finalEntropy,186,165,21,0.5,1.0,False
qwen2.5_7b,aegis,100,finalConfidence,194,173,21,0.4917423616845582,0.9930717461568669,False
qwen2.5_7b,aegis,100,finalVoteMargin,194,173,21,0.5147261216625378,0.9931566345395916,False
qwen2.5_7b,aegis,100,finalEntropy,194,173,21,0.4834847233691164,0.9597644863165484,False
qwen2.5_7b,aegis,124,finalConfidence,200,179,21,0.4301675977653631,0.9843761305145532,False
qwen2.5_7b,aegis,124,finalVoteMargin,200,179,21,0.4301675977653631,0.9843761305145532,False
qwen2.5_7b,aegis,124,finalEntropy,200,179,21,0.5698324022346368,1.0,False
mistral_7b,hatemoderate,75,finalConfidence,151,82,69,0.5,1.0,False
mistral_7b,hatemoderate,75,finalVoteMargin,151,82,69,0.5,1.0,False
mistral_7b,hatemoderate,75,finalEntropy,151,82,69,0.5,1.0,False
mistral_7b,hatemoderate,100,finalConfidence,186,100,86,0.5004651162790698,0.9407789229310982,False
mistral_7b,hatemoderate,100,finalVoteMargin,186,100,86,0.5004651162790698,0.9407789229310982,False
mistral_7b,hatemoderate,100,finalEntropy,186,100,86,0.49953488372093025,0.7712795366215975,False
mistral_7b,hatemoderate,124,finalConfidence,196,107,89,0.4698624383072561,0.9056174307638531,False
mistral_7b,hatemoderate,124,finalVoteMargin,196,107,89,0.4698624383072561,0.9056174307638531,False
mistral_7b,hatemoderate,124,finalEntropy,196,107,89,0.5301375616927438,0.796503839922535,False
