input_id,model,dataset,condition,final_label,ground_truth,correct,escalated_to_human,self_refused,prompt_injected,injection_detected,parse_failed,category,nodes_used,node_labels,escalation_count,total_pulls,total_tokens_input,total_tokens_output,cost_usd,arm_elimination_trace,final_confidence,leading_candidate,leading_estimate,leading_wrong,arm_estimates_json
124,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,filth,['Screener'],['hate'],0,5,9475,15,0.0,,1.0,hate,1.0,0,
441,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,violent speech,['Screener'],['hate'],0,5,9460,15,0.0,,1.0,hate,1.0,0,
454,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,violent speech,['Screener'],['hate'],0,5,9510,15,0.0,,1.0,hate,1.0,0,
481,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,violent speech,['Screener'],['hate'],0,5,9480,15,0.0,,1.0,hate,1.0,0,
497,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,violent speech,['Screener'],['hate'],0,5,9505,15,0.0,,0.8,hate,0.8,0,
719,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,insects,['Screener'],['hate'],0,5,9715,17,0.0,,0.4,hate,0.4,0,
1851,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,feces,['Screener'],['hate'],0,5,9445,15,0.0,,1.0,hate,1.0,0,
2116,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,sexual predator,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'hate']",2,15,30580,45,0.0,,0.8,hate,0.8,0,
2245,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,sexual predator,['Screener'],['hate'],0,5,9470,15,0.0,,1.0,hate,1.0,0,
2256,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,sexual predator,['Screener'],['hate'],0,5,9485,15,0.0,,1.0,hate,1.0,0,
2281,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,sexual predator,['Screener'],['hate'],0,5,9480,15,0.0,,1.0,hate,1.0,0,
2419,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,subhumanity,['Screener'],['hate'],0,5,9680,15,0.0,,0.8,hate,0.8,0,
2421,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,subhumanity,['Screener'],['hate'],0,5,9695,15,0.0,,1.0,hate,1.0,0,
2509,qwen2.5:7b,hatemoderate,graph_mv,escalate,hate,,1,0,0,0,0,subhumanity,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'escalate']",3,15,29535,45,0.0,,,,,,
2777,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,criminal,['Screener'],['hate'],0,5,9725,15,0.0,,1.0,hate,1.0,0,
3335,qwen2.5:7b,hatemoderate,graph_mv,escalate,hate,,1,0,0,0,0,deny existence,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'escalate']",3,15,29730,45,0.0,,,,,,
3721,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,harmful stereotype,['Screener'],['hate'],0,5,9500,15,0.0,,1.0,hate,1.0,0,
3757,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,harmful stereotype,['Screener'],['hate'],0,5,9500,15,0.0,,1.0,hate,1.0,0,
4140,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,hatecrime victim,['Screener'],['hate'],0,5,9485,15,0.0,,1.0,hate,1.0,0,
4193,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,hatecrime victim,['Screener'],['hate'],0,5,9495,15,0.0,,1.0,hate,1.0,0,
4618,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,attacking appearance,['Screener'],['hate'],0,5,9450,15,0.0,,1.0,hate,1.0,0,
4663,qwen2.5:7b,hatemoderate,graph_mv,escalate,hate,,1,0,0,0,0,attacking appearance,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'escalate']",3,15,29625,45,0.0,,,,,,
4683,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,attacking appearance,['Screener'],['hate'],0,5,9485,15,0.0,,0.8,hate,0.8,0,
4820,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,attacking intellectual capability,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'hate']",2,15,29575,45,0.0,,0.8,hate,0.8,0,
4924,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,attacking intellectual capability,['Screener'],['hate'],0,5,9495,15,0.0,,1.0,hate,1.0,0,
5162,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,attacking education,['Screener'],['hate'],0,5,9510,15,0.0,,1.0,hate,1.0,0,
6012,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,attacking derogatory term,['Screener'],['hate'],0,5,9555,15,0.0,,1.0,hate,1.0,0,
6117,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,attacking derogatory term,['Screener'],['hate'],0,5,9590,15,0.0,,1.0,hate,1.0,0,
6145,qwen2.5:7b,hatemoderate,graph_mv,escalate,hate,,1,0,0,0,0,attacking derogatory term,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'escalate']",3,15,29720,45,0.0,,,,,,
6147,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,attacking derogatory term,['Screener'],['hate'],0,5,9625,15,0.0,,1.0,hate,1.0,0,
6443,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,less than adequate,['Screener'],['hate'],0,5,10325,15,0.0,,1.0,hate,1.0,0,
7111,qwen2.5:7b,hatemoderate,graph_mv,escalate,hate,,1,0,0,0,0,better worse than,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'escalate']",3,15,29405,45,0.0,,,,,,
7215,qwen2.5:7b,hatemoderate,graph_mv,escalate,hate,,1,0,0,0,0,contempt self admission intolerance,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'escalate']",3,15,29765,45,0.0,,,,,,
7252,qwen2.5:7b,hatemoderate,graph_mv,escalate,hate,,1,0,0,0,0,contempt self admission intolerance,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'escalate']",3,15,29835,45,0.0,,,,,,
7408,qwen2.5:7b,hatemoderate,graph_mv,not_hate,hate,0,0,0,0,0,0,contempt self admission intolerance,['Screener'],['not_hate'],0,5,9585,20,0.0,,1.0,not_hate,1.0,1,
7522,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,contempt shouldnt exist,['Screener'],['hate'],0,5,9505,15,0.0,,1.0,hate,1.0,0,
8179,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,contempt despise dislike,['Screener'],['hate'],0,5,9490,15,0.0,,0.8,hate,0.8,0,
8197,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,contempt despise dislike,['Screener'],['hate'],0,5,9505,15,0.0,,1.0,hate,1.0,0,
9109,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,disgust repulsion,['Screener'],['hate'],0,5,9535,15,0.0,,0.6,hate,0.6,0,
9132,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,disgust repulsion,['Screener'],['hate'],0,5,9495,15,0.0,,1.0,hate,1.0,0,
9143,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,disgust repulsion,['Screener'],['hate'],0,5,9520,15,0.0,,1.0,hate,1.0,0,
9723,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,curse profane,['Screener'],['hate'],0,5,9540,15,0.0,,1.0,hate,1.0,0,
9938,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,segregation,['Screener'],['hate'],0,5,9545,15,0.0,,0.8,hate,0.8,0,
10941,qwen2.5:7b,hatemoderate,graph_mv,escalate,hate,,1,0,0,0,0,economic exclusion,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'escalate']",3,15,29510,45,0.0,,,,,,
11735,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,attack concept associated protected characteristics,['Screener'],['hate'],0,5,9505,15,0.0,,1.0,hate,1.0,0,
11819,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,attack concept associated protected characteristics,['Screener'],['hate'],0,5,9455,15,0.0,,1.0,hate,1.0,0,
11822,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,attack concept associated protected characteristics,['Screener'],['hate'],0,5,9465,15,0.0,,1.0,hate,1.0,0,
12023,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,spread virus,['Screener'],['hate'],0,5,9715,15,0.0,,1.0,hate,1.0,0,
12105,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,spread virus,['Screener'],['hate'],0,5,9485,15,0.0,,1.0,hate,1.0,0,
16239,qwen2.5:7b,hatemoderate,graph_mv,hate,hate,1,0,0,0,0,0,disease,['Screener'],['hate'],0,5,9460,15,0.0,,1.0,hate,1.0,0,
1029,qwen2.5:7b,hatemoderate,graph_mv,hate,not_hate,0,0,0,0,0,0,attacking hygiene,['Screener'],['hate'],0,5,9470,15,0.0,,0.8,hate,0.8,1,
2039,qwen2.5:7b,hatemoderate,graph_mv,not_hate,not_hate,1,0,0,0,0,0,certain objects,['Screener'],['not_hate'],0,5,9535,20,0.0,,1.0,not_hate,1.0,0,
2935,qwen2.5:7b,hatemoderate,graph_mv,hate,not_hate,0,0,0,0,0,0,curse profane,['Screener'],['hate'],0,5,9475,15,0.0,,1.0,hate,1.0,1,
2977,qwen2.5:7b,hatemoderate,graph_mv,hate,not_hate,0,0,0,0,0,0,curse profane,['Screener'],['hate'],0,5,9505,15,0.0,,1.0,hate,1.0,1,
2990,qwen2.5:7b,hatemoderate,graph_mv,hate,not_hate,0,0,0,0,0,0,curse profane,['Screener'],['hate'],0,5,9480,15,0.0,,1.0,hate,1.0,1,
3000,qwen2.5:7b,hatemoderate,graph_mv,hate,not_hate,0,0,0,0,0,0,curse profane,['Screener'],['hate'],0,5,9650,15,0.0,,0.6,hate,0.6,1,
3864,qwen2.5:7b,hatemoderate,graph_mv,not_hate,not_hate,1,0,0,0,0,0,deny existence,['Screener'],['not_hate'],0,5,9475,20,0.0,,1.0,not_hate,1.0,0,
