input_id,model,dataset,condition,final_label,ground_truth,correct,escalated_to_human,self_refused,prompt_injected,injection_detected,parse_failed,category,nodes_used,node_labels,escalation_count,total_pulls,total_tokens_input,total_tokens_output,cost_usd,arm_elimination_trace,final_confidence,leading_candidate,leading_estimate,leading_wrong,arm_estimates_json
2509,llama3.1:8b,hatemoderate,graph_mv_isocompute,not_hate,hate,0,0,0,0,0,0,subhumanity,"['Screener', 'Analyst']","['escalate', 'not_hate']",1,280,525840,1004,0.0,,,not_hate,,1,
441,llama3.1:8b,hatemoderate,graph_mv_isocompute,hate,hate,1,0,0,0,0,0,violent speech,['Screener'],['hate'],0,140,260820,427,0.0,,,hate,,0,
6117,llama3.1:8b,hatemoderate,graph_mv_isocompute,hate,hate,1,0,0,0,0,0,attacking derogatory term,['Screener'],['hate'],0,140,264460,420,0.0,,,hate,,0,
5162,llama3.1:8b,hatemoderate,graph_mv_isocompute,hate,hate,1,0,0,0,0,0,attacking education,['Screener'],['hate'],0,140,262220,420,0.0,,,hate,,0,
4820,llama3.1:8b,hatemoderate,graph_mv_isocompute,escalate,hate,,1,0,0,0,0,attacking intellectual capability,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'escalate']",3,420,969920,1435,0.0,,,,,,
3335,llama3.1:8b,hatemoderate,graph_mv_isocompute,not_hate,hate,0,0,0,0,0,0,deny existence,['Screener'],['not_hate'],0,140,264040,560,0.0,,,not_hate,,1,
2421,llama3.1:8b,hatemoderate,graph_mv_isocompute,hate,hate,1,0,0,0,0,0,subhumanity,['Screener'],['hate'],0,140,267400,560,0.0,,,hate,,0,
11822,llama3.1:8b,hatemoderate,graph_mv_isocompute,hate,hate,1,0,0,0,0,0,attack concept associated protected characteristics,['Screener'],['hate'],0,140,260960,434,0.0,,,hate,,0,
2116,llama3.1:8b,hatemoderate,graph_mv_isocompute,escalate,hate,,1,0,0,0,0,sexual predator,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'escalate']",3,420,1000440,1440,0.0,,,,,,
9132,llama3.1:8b,hatemoderate,graph_mv_isocompute,hate,hate,1,0,0,0,0,0,disgust repulsion,['Screener'],['hate'],0,140,261800,420,0.0,,,hate,,0,
497,llama3.1:8b,hatemoderate,graph_mv_isocompute,escalate,hate,,1,0,0,0,0,violent speech,"['Screener', 'Analyst', 'Adjudicator']","['escalate', 'escalate', 'escalate']",3,420,966140,1281,0.0,,,,,,
481,llama3.1:8b,hatemoderate,graph_mv_isocompute,hate,hate,1,0,0,0,0,0,violent speech,['Screener'],['hate'],0,140,261380,420,0.0,,,hate,,0,
2256,llama3.1:8b,hatemoderate,graph_mv_isocompute,hate,hate,1,0,0,0,0,0,sexual predator,['Screener'],['hate'],0,140,261520,427,0.0,,,hate,,0,
4663,llama3.1:8b,hatemoderate,graph_mv_isocompute,hate,hate,1,0,0,0,0,0,attacking appearance,['Screener'],['hate'],0,140,263060,434,0.0,,,hate,,0,
